iter	Passed	Remaining
0	208	83108
1	429	85379
2	617	81698
3	818	80982
4	1047	82743
5	1329	87294
6	1524	85595
7	1734	84978
8	1955	84971
9	2146	83732
10	2343	82865
11	2555	82618
12	2777	82671
13	2999	82694
14	3209	82373
15	3418	82037
16	3656	82388
17	3866	82049
18	4089	82003
19	4337	82412
20	4564	82381
21	4786	82237
22	5010	82132
23	5226	81880
24	5452	81792
25	5645	81204
26	5867	81056
27	6088	80888
28	6328	80956
29	6563	80950
30	6781	80724
31	6995	80449
32	7224	80341
33	7437	80066
34	7637	79645
35	7847	79343
36	8051	78988
37	8255	78642
38	8458	78293
39	8658	77924
40	8860	77584
41	9071	77326
42	9240	76713
43	9456	76515
44	9673	76310
45	9881	76046
46	10092	75801
47	10273	75340
48	10471	75011
49	10671	74703
50	10896	74566
51	11104	74315
52	11310	74052
53	11503	73707
54	11673	73224
55	11891	73045
56	12126	72972
57	12291	72479
58	12465	72047
59	12676	71831
60	12873	71542
61	13062	71210
62	13261	70940
63	13437	70549
64	13658	70393
65	13825	69967
66	13995	69559
67	14181	69241
68	14344	68811
69	14568	68678
70	14776	68469
71	14931	68020
72	15133	67791
73	15340	67580
74	15501	67175
75	15705	66955
76	15877	66603
77	16075	66364
78	16256	66054
79	16403	65615
80	16602	65384
81	16782	65084
82	16934	64675
83	17142	64488
84	17324	64201
85	17504	63912
86	17688	63636
87	17876	63380
88	18062	63115
89	18310	63070
90	18509	62852
91	18667	62493
92	18878	62319
93	19043	61993
94	19273	61879
95	19453	61602
96	19649	61377
97	19845	61155
98	20033	60911
99	20253	60759
100	20467	60592
101	20664	60371
102	20827	60055
103	21073	59977
104	21284	59798
105	21487	59598
106	21773	59621
107	22024	59548
108	22285	59495
109	22474	59249
110	22679	59048
111	22904	58898
112	23101	58673
113	23283	58411
114	23507	58258
115	23772	58201
116	23992	58032
117	24274	58013
118	24439	57709
119	24676	57577
120	24873	57352
121	25081	57152
122	25320	57022
123	25479	56711
124	25673	56481
125	25849	56212
126	26065	56030
127	26306	55900
128	26513	55699
129	26764	55588
130	27004	55452
131	27186	55196
132	27450	55108
133	27713	55013
134	27908	54783
135	28150	54645
136	28382	54485
137	28600	54300
138	28814	54105
139	29008	53872
140	29192	53622
141	29467	53539
142	29659	53303
143	29874	53110
144	30123	52975
145	30381	52855
146	30702	52842
147	30973	52739
148	31194	52549
149	31478	52464
150	31677	52237
151	31898	52045
152	32153	51907
153	32420	51789
154	32638	51589
155	32855	51389
156	33114	51254
157	33348	51078
158	33658	51017
159	33892	50838
160	34159	50708
161	34465	50633
162	34677	50420
163	34928	50262
164	35137	50044
165	35400	49902
166	35722	49840
167	35922	49607
168	36171	49441
169	36425	49281
170	36645	49074
171	36874	48879
172	37170	48772
173	37457	48651
174	37692	48461
175	37944	48292
176	38237	48175
177	38459	47965
178	38642	47709
179	38851	47484
180	39100	47309
181	39309	47084
182	39575	46928
183	39759	46673
184	39982	46465
185	40240	46297
186	40474	46102
187	40676	45869
188	40927	45691
189	41095	45420
190	41354	45251
191	41645	45116
192	41849	44885
193	42065	44667
194	42252	44418
195	42486	44220
196	42794	44097
197	43098	43968
198	43303	43738
199	43575	43575
200	43814	43378
201	44016	43144
202	44231	42923
203	44484	42739
204	44719	42537
205	44936	42318
206	45180	42124
207	45410	41917
208	45673	41739
209	45910	41537
210	46157	41344
